id,parentId,type,title,description,showHexagon,vip
dottedThemePreview,defaultThemesPreview,,story_dotted,,,
defaultCodeThemesPreview,themesPreview,,多款内置代码块预览主题,,,
codeCamera,preview,,代码块拍照图片,,,
previewCamera,preview,,生成长图,,,
staticsPreview,preview,,字数统计,,,
fileList,fileManagers,,文件列表,,,
recycleFold,fileManagers,,回收站,,,
fileHistory,fileManagers,,历史记录,,1,
fullSearchFile,fileManagers,,全文搜索,,,
tokenFullSearch,fullSearchFile,,分词搜索,,,
compileFullSearch,fullSearchFile,,组合搜索,,,
categorySearch,compileFullSearch,,分类,,,
tagSearch,compileFullSearch,,标签,,,
flatSearch,compileFullSearch,,标识,,,
dateSearch,compileFullSearch,,时间范围,,,
tagManager,fileManagers,,标签管理,,,
attachmentManager,fileManagers,,附件管理,,,
imageManager,fileManagers,,图片管理,,,
templateManager,fileManagers,,模板管理,,,
scriptTemplate,templateManager,,带脚本执行功能的模板,,,
normalTemplate,templateManager,,普通文本模板,,,
exportimportTemplate,templateManager,,模板支持导入导出,,,
snippetManager,fileManagers,,片段管理,,,
normalSnippet,snippetManager,,普通文本片段,,,
scriptSnippet,snippetManager,,带脚本执行功能的片段,,,
aceSnippet,snippetManager,,ace编辑器占位符片段,,,
codemirrorSnippet,snippetManager,,codemirror编辑器占位符片段,,,
exportimportSnippet,snippetManager,,片段支持导入导出,,,
syncSnippet,snippetManager,,会员片段自动同步,,,1
syncTemplate,templateManager,,会员模板自动同步,,,1
filterManager,fileManagers,,过滤器,,,
recentthreefilter,filterManager,,最近3天过滤器,,,
recentSevenFilter,filterManager,,最近7天过滤器,,,
allFilter,filterManager,,显示全部文章过滤器,,,
draftFilter,filterManager,,最近修改过滤器,,,
upFilter,filterManager,,置顶过滤器,,,
reverseFilter,filterManager,,反向引用过滤器,,,
categoryFilter,filterManager,,树形分类过滤器,,,
tagFilter,filterManager,,标签过滤器,,,
compileTagFilter,filterManager,,组合标签过滤器,,,
dateFilter,filterManager,,时间过滤器,,,
dateRangeFilter,filterManager,,时间范围过滤器,,,
customFilterManager,filterManager,,自定义过滤器,,,1
linkRelationManager,fileManagers,,链接关系图,,,1
currentLinkRelation,linkRelationManager,,当前文章引用关系,,,1
calendarHeatmap,linkRelationManager,,文章日历热力图,,,1
timelinemanager,linkRelationManager,,时间输显示文章,,,1
treelinkrelation,linkRelationManager,,树形显示效果,,,1
taglinkrelation,linkRelationManager,,标签引用关系,,,1
wwwlinkrelation,linkRelationManager,,外部链接引用显示,,,１
customCategoryFilter,customFilterManager,,自定义分类过滤器,,,1
customTagFilter,customFilterManager,,自定义标签过滤器,,,1
customDateFilter,customFilterManager,,自定义时间过滤器,,,1
customFlagFilter,customFilterManager,,自定义标识过滤器,,,1
customSearchFilter,customFilterManager,,自定义搜索过滤器,,,1
evernote,outerStore,,evernote 存储,,1,
evernoteTagManager,evernote,,evernote标签管理,,,1
evernoteSearch,evernote,,evernote搜索,,,1
evernoteBooks,evernote,,evernote笔记本组,,,
yingxiang,outerStore,,印象笔记存储,,1,
yingxiangTagManager,yingxiang,,印象标签管理,,,1
yingxiangSearch,yingxiang,,印象搜索,,,1
yingxiangBooks,yingxiang,,印象笔记本组,,,
youdao,outerStore,,有道笔记存储,,1,
wiz,outerStore,,为知笔记存储,,1,
wizTagManager,wiz,,为知标签管理,,,1
wizSearch,wiz,,为知搜索,,,1
wizCustomHost,wiz,,为知自定义服务器,,,
github,outerStore,,github 存储,,1,
gitee,outerStore,,gitee 码云存储,,1,
gitlab,outerStore,,gitlab 存储,,1,
webdav,outerStore,,webdav 存储,,1,
jianguoyun,webdav,,坚果云,,,
chengtongwangpan,webdav,,城通网盘,,,
qunhui,webdav,,群晖,,,
owncloud,webdav,,OwnCloud,,,
yandex,webdav,,yandex,,,
dropboxwebdav,webdav,,dropbox 存储,,,
transipwebdav,webdav,,TransIP,,,
nextclound,webdav,,Nextclound,,,
seafile,webdav,,Seafile,,,
dropbox,outerStore,,dropbox 存储,,1,
local,outerStore,,本地文件夹存储,,,
multipleBind,outerStore,,同类第三方存储多次绑定,,,1
github,imageStore,,github 图床,,,
gitee,imageStore,,gitee 图床,,,
smms,imageStore,,smms 图床,,,
aliyun,imageStore,,阿里云 oss,,,
qiniu,imageStore,,七牛图床,,,
upai,imageStore,,右拍云图床,,,
imgur,imageStore,,imgur 图床,,,
customImageStore,imageStore,,自定义图床,,,
mdtxt,export,,markdown 纯文本,,,
html,export,,html 文本,,,
styledHtml,export,,格式化后的 html 文本,,,
customTemplatedHtml,export,,模式式 html 文本,,,
zip,export,,zip 压缩包,,,
png,export,,png 格式长图,,,
onlinePdf,export,,pdf,,1,1
onlinePdfWatermarker,onlinePdf,,自定义水印,,,1
onlinePdfToc,onlinePdf,,书本效果的目录,,,1
onlinePdfOutline,onlinePdf,,书签,,,1
onlinePdfheader,onlinePdf,,自定义页眉,,,1
onlinePdffooter,onlinePdf,,自定义页脚,,,1
onlinePdfPassword,onlinePdf,,导出pdf带密码保护,,,1
onlinePdfCover,onlinePdf,,自定义pdf封面,,,1
print,export,,打印,,,
ppt,export,,ppt,,,
batchExport,export,,批量导出,,,
